fold,text,intents,intent_span,intent_span_4o
fold0,why don't you offer massages anymore?,"['why', 'wrong_notworking_notshowing']",why don't you offer massages anymore/massages,anymore/don't you offer/why/massages
fold0,how do i cancel my restaurant booking of the 20th of April,"['how', 'cancel_close_leave_freeze']",restaurant booking/how do i cancel/20th of April,cancel/how/restaurant booking
fold0,any constraints on the number of nights we can stay during the Christmas time?,"['limits', 'request_info']",number of nights/Christmas time,constraints/Christmas time/number of nights
fold0,"got it, then just rebook me to another hotel","['acknowledge', 'change']",rebook/another hotel,got it/rebook/another hotel
fold0,Laters,['end_call'],Laters,Laters
fold0,"Hi, can I get some food delivered now","['greet', 'make_open_apply_setup_get_activate']",food delivered,Hi/get/food delivered
fold0,Speak to someone about room service,['handoff'],room service,speak to someone/room service
fold0,I'd like to change my current booking to a smaller and cheaper room if possible.,"['change', 'existing', 'less_lower_before']",change/smaller and cheaper room/current booking,smaller and cheaper room/change/current booking
fold0,what is the check in time in your hotel,['when'],check in time,time/check in/hotel
fold0,i slept in and will have to check out later than 6,['more_higher_after'],slept/later than 6/check out,check out/later than 6
fold0,put more people under the reservation rickelle kawamoto,"['change', 'more_higher_after']",put more people/rickelle kawamoto/under the reservation,reservation/more
fold0,Sounds good yeah!,['affirm'],Sounds good,Sounds good yeah
fold0,I wanna open another reservation,"['new', 'make_open_apply_setup_get_activate']",open/reservation,reservation/open
fold0,Is it allowed to bring your dog to the pool?,['request_info'],bring your dog/allowed/to the pool,bring your dog/pool
fold0,"no, I'm talking about an existing one, made 3 days ago","['deny', 'existing']",made 3 days ago/existing,3 days ago/no/existing
fold0,wifi is broken,['wrong_notworking_notshowing'],broken/wifi,wifi/broken
fold0,Is there a gym,['request_info'],gym,gym
fold0,what is the cost of the spa,['how_much'],cost/spa,cost/spa
fold0,i think i dropped my phone,['lost_stolen'],dropped,dropped
fold0,i want to park my car somewhere,['request_info'],park,park
fold0,Could you please cancel the lunch booking for 4 at 11:45 am under shanta ricciardi?,['cancel_close_leave_freeze'],lunch booking/shanta ricciardi/11:45 am/cancel,cancel/booking
fold0,"change hotel booking, my name is edens",['change'],hotel booking/change/my name is edens,booking/change
fold0,can I get an acupuncture session for the 17 Sep at 11 00 in the morning,['make_open_apply_setup_get_activate'],11 00 in the morning/acupuncture session/17 Sep,session/17 Sep/11 00 in the morning/get
fold0,what are the restaurant dinner opening hours?,['request_info'],restaurant/dinner opening hours,restaurant/opening hours
fold0,I want to order breakfast omelette room service,['make_open_apply_setup_get_activate'],omelette/breakfast/room service,breakfast omelette
fold0,Can I change the start date and duration of a reservation i made the other day,"['change', 'existing']",start date/change/duration,reservation/duration/change/start date
fold0,a table booking for 2 people on the date 1st of Jan and the time 15 to 2 night,['make_open_apply_setup_get_activate'],date 1st of Jan/2 people/table booking/time 15 to 2 night,time 15 to 2 night/table booking/date 1st of Jan
fold0,I just want to change the number of guests,['change'],number of guests/change,change/number of guests
fold0,"Have you got any availability between 17th May to 21st May, we are three for a four night stay",['make_open_apply_setup_get_activate'],three for a four night stay/between 17th May to 21st May/availability,17th May to 21st May/availability/for a four night stay
fold0,I need to book for 4 rooms,['make_open_apply_setup_get_activate'],4 rooms/book,rooms/book
fold0,book for tomorrow,['make_open_apply_setup_get_activate'],book/tomorrow,tomorrow/book
fold1,"thanks, when will I get the money back?","['thank', 'when']",when will I get the money back/thanks,thanks/get the money back/when
fold1,why can't I cancel my reservation for tomorrow,"['why', 'cancel_close_leave_freeze', 'wrong_notworking_notshowing']",cancel my reservation/tomorrow/why,cancel/reservation/why/tomorrow
fold1,how can I book a room for 2?,"['how', 'make_open_apply_setup_get_activate']",book a room/for 2/how,book a room/how can I
fold1,"given the new normal, is there any limit on the number of people at the pool?","['limits', 'request_info']",limit,new/pool/limit
fold1,ok im done with this,"['acknowledge', 'end_call']",im done with this/ok,done/ok
fold1,I didn't quite understand you,['repeat'],didn't quite understand you,didn't understand
fold1,"hello, I want to change the number of nights of my hotel booking","['change', 'existing', 'greet']",number of nights/change,change/number of nights/hello
fold1,spa team please,['handoff'],team/spa,please/spa
fold1,is there any way to get in the gym earlier than 4:25,"['request_info', 'less_lower_before']",4:25/get in the gym earlier,get in the gym/earlier
fold1,we're still in the room we are going to leave later,['more_higher_after'],going to leave later/room/we're still,still in the room/leave later
fold1,any free rooms with jacuzzi after Tuesday?,"['request_info', 'more_higher_after']",after Tuesday/jacuzzi/free rooms,free rooms/after Tuesday/jacuzzi
fold1,"Yes, that's brilliant.",['affirm'],Yes,that's brilliant/Yes
fold1,"I made one booking two weeks ago, but would like to make a new one now.","['make_open_apply_setup_get_activate', 'new']",booking/new,make a new one/booking
fold1,"I've got a couple of small dogs, is it ok if I bring them",['request_info'],bring them/small dogs,bring them/small dogs
fold1,"no, I don't need a stove in the room.",['deny'],I don't need a stove/no,no
fold1,The WiFi signal is so bad.,['wrong_notworking_notshowing'],WiFi,WiFi/bad
fold1,"there's no shampoo in the shower, please send me one.","['wrong_notworking_notshowing', 'make_open_apply_setup_get_activate']",shampoo,send me one/no shampoo in the shower
fold1,does the gym have an exercise bike,['request_info'],exercise bike/gym,exercise bike/gym
fold1,how much do body treatments cost?,['how_much'],how much/body treatments cost,body treatments/how much
fold1,my daughter left left a teddy bear downstairs did someone hand it in,['lost_stolen'],someone hand it in/downstairs/teddy bear/daughter,someone hand it in
fold1,can i leave my car on the parking overnight,['request_info'],leave my car/on the parking overnight,leave/parking
fold1,Cancel the restaurant reservation for 18 45 in the evening under sammijo oaks,['cancel_close_leave_freeze'],sammijo oaks/restaurant reservation/Cancel/18 45 in the evening,Cancel/restaurant reservation
fold1,confirm room booking under charis,['existing'],confirm/room booking,confirm/room booking
fold1,do you offer waxing?,['request_info'],do you offer/waxing,do you offer/waxing
fold1,can i book a restaurant table here?,"['request_info', 'make_open_apply_setup_get_activate']",book a restaurant table,restaurant/book
fold1,please bring me a ham sandwich,['make_open_apply_setup_get_activate'],ham sandwich,bring
fold1,I have a room booking for Saturday 3 December and I am going to need to change the checkout date to December 12,"['change', 'existing']",change the checkout date/room booking,change/room booking/checkout date
fold1,change my restaurant reservation to 25 past 15 afternoon,['change'],25 past 15 afternoon/restaurant reservation/change,25 past 15 afternoon/restaurant reservation/change
fold1,I want to modify the number of rooms,['change'],modify/number of rooms,modify/number of rooms
fold1,book a room from tomorrow to Saturday for 1,['make_open_apply_setup_get_activate'],book a room/for 1/from tomorrow to Saturday,tomorrow to Saturday/book a room
fold1,Iâ€™d like to book two rooms a fortnight today.,['make_open_apply_setup_get_activate'],book/today/a fortnight/two rooms,a fortnight today/two rooms/book
fold1,book for Aug the 18th to August 26th,['make_open_apply_setup_get_activate'],book/Aug the 18th to August 26th,Aug the 18th to August 26th/book
fold2,"I would like to check in the 4 April and check out the Wednesday, thanks",['thank'],check in/4 April/check out,thanks/check in/check out
fold2,I am still waiting for the refund of the room i cancelled,['wrong_notworking_notshowing'],room I cancelled/refund,room i cancelled/refund
fold2,what time do the cleaning personel come?,['when'],cleaning personnel/what time,what time/cleaning personel come
fold2,how much does a full body massage last?,['how_long'],full body massage/how much/last,last/how much
fold2,"ok, then I need a wheelchair friendly room","['acknowledge', 'make_open_apply_setup_get_activate']",wheelchair friendly room,wheelchair friendly room/ok
fold2,"i lost it, but don't know where","['lost_stolen', 'dont_know']",don't know/lost,lost/don't know
fold2,"i lost it, but no idea where","['lost_stolen', 'dont_know']",no idea where/lost,lost/no idea
fold2,"Goodbye, my virtual friend!",['end_call'],Goodbye,Goodbye
fold2,"hiya there, I need some info about my current booking at your place","['greet', 'request_info', 'existing']",current booking,current booking/hiya there
fold2,I need to speak to someone working at the pool.,['handoff'],speak/someone working at the pool,speak to someone/pool
fold2,It will be fewer people today than what I first told you.,['less_lower_before'],fewer people/what I first told you/today,fewer
fold2,when can I do check in very latest?,['when'],check in/when,check in/when
fold2,"I want to check out, but still leave my car at the parking spot for few more hours.",['make_open_apply_setup_get_activate'],leave my car/check out,parking spot/check out
fold2,"I'd like to rebook for a later date, say, Wednesday 26th October","['change', 'more_higher_after']",rebook/Wednesday 26th October/later date,later date/rebook/Wednesday 26th October
fold2,new,['new'],new,new
fold2,Where exactly is the pool?,['request_info'],pool,Where exactly/pool
fold2,"I have just one dog I wanted to have in my room, can I make sure that is ok",['request_info'],dog/room/make,dog/room
fold2,heck no!,['deny'],heck/no,heck no!
fold2,Do you guys have a WiFi password?,['request_info'],WiFi password,WiFi/password
fold2,"Can someone fix air conditioning in my room, please?","['request_info', 'wrong_notworking_notshowing']",air conditioning/fix/room,air conditioning/fix/room
fold2,I heard there you have a jogging trail,['request_info'],jogging trail,jogging trail
fold2,How much is extra parking?,['how_much'],extra parking/How much,How much/extra parking
fold2,my camera seems to be missing,['lost_stolen'],camera,missing
fold2,Where can I leave my car?,['request_info'],leave my car/Where can I,Where/leave my car
fold2,any room free this evening already?,['request_info'],any room/already/this evening,free/already/this evening/room
fold2,cancel the 8 40 in the morning restaurant booking under bruggeman,['cancel_close_leave_freeze'],restaurant booking/the 8 40 in the morning/under bruggeman/cancel,cancel/restaurant booking
fold2,"I want to book a room on behalf of shaida sharon, from Jan the 12th.",['make_open_apply_setup_get_activate'],book a room/Jan the 12th,Jan the 12th/book a room
fold2,I want to get a foot bath on Sunday,['make_open_apply_setup_get_activate'],Sunday/foot bath,foot bath/get/Sunday
fold2,Is there a cash machine on the premises?,['request_info'],premises/cash machine,cash machine/on the premises
fold2,I have a reservation and I need to change the number of adults,"['change', 'existing']",number of adults/change,reservation/number of adults/change
fold2,I have a booking and I need to amend the number of adults,"['change', 'existing']",amend the number of adults/booking,amend/number of adults/booking
fold2,I have a booking and I need to change the number of adults,"['change', 'existing']",number of adults/change,change/booking
fold2,I have a reservation and I need to amend the number of adults,"['change', 'existing']",amend the number of adults/reservation,number of adults/reservation/amend
fold2,please change the time of my table booking,['change'],change/time/table booking,table booking/change
fold2,I want to modify the adults,['change'],modify/adults,adults/modify
fold2,Looking for a room from the 1st to the 17th for 8 people,['make_open_apply_setup_get_activate'],Looking for a room/from the 1st to the 17th/for 8 people,8 people/from the 1st to the 17th/room
fold2,I'd like an en suite room for 2 adults please,['make_open_apply_setup_get_activate'],en suite room/2 adults,2 adults/en suite room
fold2,I want to book for today,['make_open_apply_setup_get_activate'],book/for today,today/book
fold3,"Something's wrong with the shower, only cold water since 25 past 17 afternoon today.",['wrong_notworking_notshowing'],with the shower/only cold water/Something's wrong/since 25 past 17 afternoon today,cold water/25 past 17 afternoon today/shower/Something's wrong
fold3,"I just wanted to confirm the booking and that's all, thanks and bye-bye!","['thank', 'end_call']",confirm/bye/booking/thanks,thanks/confirm the booking/bye
fold3,the room was supposedly cleaned but this is still pretty dirty,['wrong_notworking_notshowing'],cleaned/room,cleaned/room
fold3,how much time does a spa session last?,['how_long'],last/how much time/spa session,time/how much/spa session
fold3,can I go to the gym if I am in a wheelchair?,['request_info'],wheelchair/gym,gym/wheelchair
fold3,i have doubts about my check in date,['dont_know'],doubts/check in date,doubts/date/check in
fold3,Please tell me that one more time,['repeat'],tell me/one more time,one more time
fold3,"Hello, I am calling due to some issues with online check in.","['greet', 'wrong_notworking_notshowing']",online check in,online check in/Hello
fold3,I need to speak to someone at the restaurant.,['handoff'],speak to someone/restaurant,restaurant/speak to someone
fold3,"I'll arrive earlier than what I thought, can I check in already at 12:45 p.m.?","['less_lower_before', 'request_info']",check in at 12:45 p.m./arrive earlier,check in/arrive
fold3,when do i need to leave the room my last day?,['when'],when/do i need to leave the room,leave the room/when
fold3,"I will be late for my 10 to 4 afternoon restaurant reservation, it's dalana palomares",['more_higher_after'],10 to 4 afternoon restaurant reservation/late,late/restaurant reservation
fold3,"yep, book it under jon!",['affirm'],yep/book it under jon,book it/yep
fold3,i don't have a booking yet,['new'],booking yet/i don't have,booking/don't have a
fold3,I'll be arriving with my 4 dogs. Can they enter the premises?,['request_info'],4 dogs/arriving,arriving/4 dogs
fold3,no no not right now,['deny'],not right now/no,no no not right now
fold3,internet is not working,['wrong_notworking_notshowing'],internet/not working,internet is not working
fold3,is it possible to reserve a treadmill in the gym?,['request_info'],reserve a treadmill,gym/reserve
fold3,whats the price of skincare treatments?,['how_much'],skincare treatments,skincare treatments/price
fold3,Lost property,['lost_stolen'],property/Lost,property/Lost
fold3,"I might pick up a rental car, do you have parking on site",['request_info'],parking/rental car,parking on site
fold3,I want to stay tomorrow night,['make_open_apply_setup_get_activate'],stay/tomorrow night,tomorrow night
fold3,i cant make it to my restaurant booking at 2:10 night,['cancel_close_leave_freeze'],at 2:10/i cant make it to my restaurant booking/at 2:10 night,make it/restaurant booking
fold3,please just cancel that booking for murad as I got ill.,['cancel_close_leave_freeze'],booking/cancel,cancel/booking
fold3,i need to change the time of my makeup service tomorrow,['change'],tomorrow/change/time/makeup service,time/change
fold3,How do I order caesar salad,['request_info'],How do I order/caesar salad,order caesar salad/How do I
fold3,I have a booking,['existing'],booking,booking
fold3,6 15 I have a table booking,['existing'],15/6/table booking,table booking
fold3,I need a dinning reservation for 5 people on March 13th at 9 pm,['make_open_apply_setup_get_activate'],dinning reservation/March 13th/5 people/9 pm,dinning reservation
fold3,I just want to change some details of my hotel booking,['change'],change/details,hotel booking/change
fold3,I want to change one,['change'],change,change
fold3,I'd like to make a reservation for 5 people from Sunday 10 July,['make_open_apply_setup_get_activate'],5 people/Sunday 10 July/make a reservation,Sunday 10 July/make a reservation/5 people
fold3,I would like to book a hotel for 2 nights for 6 in three rooms for Friday to Sunday so we can go drinking,['make_open_apply_setup_get_activate'],book a hotel/2 nights/Friday to Sunday/6 in three rooms/go drinking,hotel/2 nights/Friday to Sunday/book
fold3,I would like to stay for a fortnight in the cheapest room you have,['make_open_apply_setup_get_activate'],cheapest room/fortnight,fortnight/cheapest room/stay
fold3,I would to book a weekend away for myself and my husband for the 29 May please.,['make_open_apply_setup_get_activate'],book a weekend away/29 May,29 May/book
fold4,a new one thanks,"['new', 'thank']",new/thanks,thanks/new
fold4,when should I expect my booking refund?,['when'],booking refund/when,when should I expect/refund/booking
fold4,how long does a foot massage take?,['how_long'],foot massage/how long,how long/foot massage
fold4,are the rooms adapted to reduced mobility?,['request_info'],adapted to reduced mobility/rooms,rooms/adapted/reduced mobility
fold4,i am clueless,['dont_know'],clueless,clueless
fold4,"Cheerio, bye",['end_call'],bye/Cheerio,Cheerio/bye
fold4,"Hey, I locked myself out of the room, please help!","['wrong_notworking_notshowing', 'greet']",please help/locked myself out,locked myself out of the room/please help
fold4,is the pool open before quarter to 9,['less_lower_before'],open before quarter to 9/pool,before quarter to 9/pool
fold4,when can i check in,['when'],check in/when,check in/when
fold4,can i book a table for after 12:25 night,"['more_higher_after', 'make_open_apply_setup_get_activate']",after 12:25 night/book a table,after 12:25 night/book
fold4,"yeah, the booking under normand dasher is for tonight.",['affirm'],booking/tonight,yeah/tonight/booking
fold4,Can I also access wifi at the pool?,['request_info'],at the pool/access wifi,wifi/pool
fold4,Can I bring pets,['request_info'],pets,bring pets
fold4,"no, just cancel that booking under taiwo lis and don't bother","['deny', 'cancel_close_leave_freeze']",booking/cancel,cancel that booking/no
fold4,wireless in my room has not been working since yesterday afternoon,['wrong_notworking_notshowing'],/wireless/not been working since yesterday afternoon,has not been working/since yesterday afternoon/wireless
fold4,tv is just dead,['wrong_notworking_notshowing'],tv/dead,tv is just dead
fold4,Is there an iron in the room?,['request_info'],iron,iron/room
fold4,What exercise options are there?,['request_info'],exercise options,exercise options
fold4,whats the price of an exfoliation session?,['how_much'],exfoliation session,price/exfoliation session
fold4,i can't find my keys,['lost_stolen'],keys/can't find,keys/can't find
fold4,The parking is free right?,['request_info'],parking/free,free/parking
fold4,"I want to book from Monday night, checkout Saturday",['make_open_apply_setup_get_activate'],book/Monday night/checkout/Saturday,Monday night/checkout Saturday/book
fold4,"I have a booking for 10 people at 1 05 afternoon under the name oehler, I'm sorry but I need to cancel it.","['existing', 'cancel_close_leave_freeze']",booking/cancel,cancel/booking
fold4,i have an existing booking under zeno and i need to change the checkin to the 10th Jul,"['change', 'existing']",change the checkin to the 10th Jul/existing booking,existing booking/checkin/change
fold4,can I book a slot to do my hair at 6 20 in the evening?,['make_open_apply_setup_get_activate'],book a slot/6 20 in the evening/do my hair,slot/book
fold4,any table free in 2 hours?,['request_info'],free in 2 hours/any table,any table free/in 2 hours
fold4,can I update my hotel reservation to include more people?,"['change', 'existing']",more people/update/hotel reservation,update/more people/hotel reservation
fold4,do you have free tables at 10:30 p.m.,['make_open_apply_setup_get_activate'],10:30 p.m./free tables,free tables/10:30 p.m.
fold4,I'd like to change my room booking please,['change'],room booking/change,room booking/change
fold4,"I would like to make a booking for the VIP room for one week, that accommodates 5 people comfortably.",['make_open_apply_setup_get_activate'],one week/5 people/booking/VIP room,VIP room/make a booking/one week
fold4,Hi I'd like a double room plus cot for 1 adults and a toddler. We'll stay for 5 nights from 4th to 9 October 2017,['make_open_apply_setup_get_activate'],toddler/Hi/4th to 9 October 2017/double room plus cot/5 nights/1 adults,4th to 9 October 2017/1 adults and a toddler/Hi/cot/5 nights/double room
fold4,I like to book a reservation,['make_open_apply_setup_get_activate'],book/reservation,reservation/book
fold5,"thanks, I'll leave the room before 7:25 a.m..","['thank', 'cancel_close_leave_freeze']",before 7:25 a.m./leave the room/thanks,thanks/leave/before
fold5,what is the reason for not being able to book for the 22nd of Nov,"['why', 'wrong_notworking_notshowing', 'make_open_apply_setup_get_activate']",22nd of Nov/not being able to book,reason/not being able to book
fold5,how to do that?,['how'],to do that/how,how
fold5,how to do it?,['how'],how to do it,how
fold5,how  do I do it?,['how'],do I do it/how,how
fold5,how  do I do that?,['how'],how,how
fold5,what is the maximum number of people for a room?,"['limits', 'how_much', 'more_higher_after']",maximum number/room/people,maximum number/room
fold5,"ok, that is all","['acknowledge', 'end_call']",ok/that is all,that is all/ok
fold5,Pardon?,['repeat'],Pardon,Pardon
fold5,"hi, can I modify my booking, its under towe","['greet', 'change']",modify my booking/under towe/hi,hi/modify/booking
fold5,I want to speak to the restaurant,['handoff'],speak/restaurant,restaurant/speak
fold5,need to change the time of my lunch booking to earlier,"['change', 'less_lower_before']",earlier/change/time of my lunch booking,booking/earlier/change
fold5,What time will the room be ready?,['when'],What time/room,What time/room be ready
fold5,i overslept and will need to check out late,['more_higher_after'],check out late,check out/late
fold5,yeah I have one,"['existing', 'affirm']",yeah,yeah/have one
fold5,wana make a new one,"['make_open_apply_setup_get_activate', 'new']",make a new one/wana,make/new
fold5,is the outdoor pool near the lobby,['request_info'],outdoor pool/lobby,outdoor pool/lobby
fold5,i lost my dog,['lost_stolen'],my dog/lost,lost
fold5,"no, not me, it's only my wife and our son and 4 daughters",['deny'],it's only my wife and our son and 4 daughters/no/not me,no
fold5,Why is the internet so slow?,['wrong_notworking_notshowing'],Why/internet/slow,internet/slow/Why
fold5,I'd like to move to another room as heating is down in the current one.,"['change', 'wrong_notworking_notshowing', 'existing']",heating is down/move to another room/current one,heating is down/move to another room/current one
fold5,Is there somewhere to workout,['request_info'],workout,workout
fold5,I think I might have left one of my bags somewhere,['lost_stolen'],left one of my bags,left
fold5,where can i park my car next Tuesday,['request_info'],next Tuesday/where/park my car,next Tuesday/park
fold5,please cancel my 5 to 18 acupuncture appointment under shley,['cancel_close_leave_freeze'],acupuncture appointment/cancel,cancel/appointment
fold5,"I want to change my reservation for the 24th please, its under devon solari",['change'],devon solari/change/24th/reservation,devon solari/change my reservation/the 24th
fold5,where can i get a spa,['request_info'],where can i get/spa,get/spa
fold5,I receive something in the mail about a free room,['request_info'],free room,mail/free/receive/room
fold5,can i have the lunch delivered to my room at 1 p.m.?,['make_open_apply_setup_get_activate'],lunch delivered/1 p.m.,1 p.m./lunch delivered to my room
fold5,Send us some doughnuts and milk for breakfast tomorrow.,['make_open_apply_setup_get_activate'],milk/doughnuts,breakfast
fold5,"already have one, want to change it","['existing', 'change']",have one/already/want to change it,change it/already have one
fold5,can i book a table at 25 to 8 p.m.,['make_open_apply_setup_get_activate'],book a table/25 to 8 p.m.,25 to 8 p.m./book
fold5,I need to amend my the number of nights,['change'],number of nights/amend,amend/number of nights
fold5,I need to change my the number of nights,['change'],number of nights/change,number of nights/change
fold5,I'd like to book accommodation for two nights from the 17 - 19 July for 9 pax of which two are children ages 6 and 9.,['make_open_apply_setup_get_activate'],9 pax/two nights/17/book accommodation/two children ages 6 and 9,book
fold5,Have you got a family room for three nights from Wednesday?,['make_open_apply_setup_get_activate'],Wednesday/family room/three nights,family room/Wednesday/three nights
fold5,I need a room for my family consisting of 5 adults.,['make_open_apply_setup_get_activate'],5 adults/room/family,room
fold5,Do you have availability for the 3rd to the 14th?,['make_open_apply_setup_get_activate'],3rd to the 14th/availability,availability/3rd to the 14th
fold6,Why didn't housekeeping clean my room this morning?,['why'],this morning/Why/my room/didn't housekeeping clean,clean my room/housekeeping/Why
fold6,how can i change it?,"['how', 'change']",change/how,how/change
fold6,is there any upper limit on wifi use?,"['limits', 'request_info']",wifi use/upper limit,wifi/upper limit
fold6,"all good, adios!","['acknowledge', 'end_call']",all good/adios,adios/all good
fold6,Sorry I didn't get that,['repeat'],Sorry,Sorry I didn't get that
fold6,"Hi, got a question about the room service menu",['greet'],room service menu,Hi/question about the room service menu
fold6,Transfer me to room service,['handoff'],Transfer me/room service,Transfer/room service
fold6,Do you offer any discounts on your hotel restaurant for your guests?,"['request_info', 'less_lower_before']",discounts/hotel restaurant,guests/discounts/restaurant
fold6,"can you tell me about the details of check in please, ill be arriving around 1:40 p.m.",['request_info'],check in/arriving around 1:40 p.m.,arriving around 1:40 p.m./tell me about the details of check in
fold6,what time can I check out tomorrow?,['when'],check out tomorrow/what time,what time/check out
fold6,The price is higher than what we agreed 3 days ago. Is it because of parking or what?,"['more_higher_after', 'request_info']",parking/price is higher/what we agreed 3 days ago,higher/what?/parking
fold6,yes amazing,['affirm'],amazing/yes,amazing/yes
fold6,where on earth is the indoor pool,['request_info'],indoor pool,indoor pool/where
fold6,What pets are allowed,['request_info'],pets/allowed,allowed/pets
fold6,"no, it was about the booking already made a couple of days ago.","['deny', 'existing']",booking,booking/already made/no
fold6,I can't get online on the hotel wifi.,['wrong_notworking_notshowing'],hotel wifi,wifi/can't get online
fold6,"I want to book a room for tonight only, but it doesn't seem to work.","['make_open_apply_setup_get_activate', 'wrong_notworking_notshowing']",book a room/doesn't seem to work,tonight only/doesn't seem to work/book a room
fold6,do you have cable TV in the rooms?,['request_info'],cable TV/rooms,cable TV/rooms
fold6,do you have exercise bikes,['request_info'],exercise bikes,exercise bikes/do you have
fold6,pedicure price,['how_much'],price/pedicure,pedicure/price
fold6,my laptop is missing from my room,['lost_stolen'],missing/laptop/room,missing
fold6,We want to double check that free and overnight parking are covered.,['request_info'],free and overnight parking,parking/double check
